Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	138	the▁	46682	3633	4249	0.833657	0.716841	0.770848
2	142	,▁	38245	3176	3148	0.715838	0.750499	0.732759
3	148	.▁	30112	2871	3039	0.990378	0.94543	0.967382
4	155	of▁	24385	1646	2010	0.706725	0.589925	0.643064
5	157	and▁	21525	1331	1346	0.907058	0.89236	0.899649
6	156	to▁	21357	1620	1490	0.611075	0.666637	0.637648
7	163	a▁	16063	1559	1701	0.741959	0.699529	0.72012
8	165	in▁	15199	1351	1356	0.662544	0.670941	0.666716
9	5	▁	13389	1432	1467	0.593505	0.581705	0.587546
10	161	is▁	11390	769	952	0.637998	0.522871	0.574726
11	185	that▁	10133	632	760	0.55997	0.472769	0.512688
12	132	s▁	9896	1458	1068	0.418206	0.585389	0.487873
13	159	ed▁	8098	974	833	0.417478	0.49221	0.451774
14	199	for▁	7785	587	471	0.492481	0.619412	0.548701
15	11	n	7676	865	773	0.451222	0.514872	0.48095
16	153	on▁	6934	637	522	0.43535	0.541705	0.482739
17	131	e▁	6515	794	643	0.404007	0.500449	0.447086
18	134	t▁	5808	799	507	0.321962	0.50928	0.394515
19	162	ing▁	5775	547	290	0.231061	0.429104	0.300377
20	10	i	5678	680	589	0.440456	0.514706	0.474695
21	222	I▁	5584	211	235	0.912088	0.817993	0.862482
22	225	be▁	5531	338	419	0.535979	0.435829	0.480743
23	218	are▁	5347	390	476	0.524496	0.42811	0.471427
24	164	es▁	5033	471	384	0.346123	0.423754	0.381024
25	237	with▁	4867	405	416	0.617754	0.597222	0.607314
26	229	it▁	4862	438	386	0.431034	0.501437	0.463578
27	184	as▁	4810	366	622	0.536688	0.506808	0.52132
28	242	this▁	4741	208	232	0.60134	0.540909	0.569526
29	35	-	4622	530	424	0.330534	0.433951	0.375248
30	246	The▁	4453	577	632	0.743007	0.677867	0.708944
31	248	we▁	4412	119	179	0.861111	0.614035	0.716881
32	180	an▁	4383	426	361	0.506649	0.591795	0.545922
33	256	have▁	4116	278	341	0.517442	0.42926	0.469244
34	249	not▁	3959	244	347	0.820402	0.581263	0.680433
35	137	er	3932	386	343	0.469828	0.536465	0.50094
36	141	y▁	3906	515	426	0.424819	0.520276	0.467727
37	136	d▁	3891	482	445	0.404264	0.435914	0.419492
38	17	c	3848	484	384	0.429322	0.547331	0.481197
39	263	by▁	3815	270	246	0.425197	0.475983	0.449159
40	6	e	3803	557	460	0.497771	0.610059	0.548224
41	34	S	3704	492	505	0.69246	0.673045	0.682615
42	12	s	3602	580	438	0.41127	0.567867	0.477046
43	209	ation▁	3459	198	253	0.440147	0.35119	0.390669
44	277	which▁	3337	140	204	0.391791	0.270833	0.320272
45	278	will▁	3330	173	239	0.549383	0.402648	0.464707
46	145	re	3186	345	309	0.42284	0.47242	0.446257
47	36	M	3093	471	438	0.730269	0.777556	0.753171
48	139	in	3008	256	230	0.345238	0.38062	0.362067
49	18	u	3005	387	389	0.563539	0.570393	0.566945
50	250	or▁	2985	270	237	0.61157	0.709906	0.657079
51	43	B	2971	372	399	0.768103	0.7149	0.740547
52	149	al	2961	332	316	0.554455	0.608456	0.580202
53	150	ar	2943	398	359	0.531455	0.606109	0.566333
54	290	has▁	2943	241	298	0.454348	0.372302	0.409253
55	32	C	2920	285	335	0.801181	0.690128	0.74152
56	15	l	2872	360	285	0.385021	0.499322	0.434785
57	37	A	2857	281	260	0.636624	0.684685	0.65978
58	379	ra	2831	274	222	0.392996	0.492537	0.437172
59	296	European▁	2809	14	13	0.807692	0.846154	0.826476
60	174	al▁	2808	248	206	0.409292	0.487179	0.444852
61	169	at▁	2784	350	233	0.269309	0.412844	0.325976
62	166	er▁	2700	510	363	0.379074	0.543776	0.446728
63	310	me	2697	270	220	0.448163	0.543902	0.491413
64	8	o	2693	380	343	0.470273	0.532787	0.499582
65	306	from▁	2658	317	219	0.358277	0.525833	0.426177
66	39	P	2649	349	387	0.799658	0.735223	0.766088
67	21	f	2609	289	293	0.494275	0.485313	0.489753
68	227	tion▁	2566	175	220	0.482353	0.385922	0.428783
69	13	r	2537	387	342	0.413842	0.471133	0.440633
70	14	h	2523	368	336	0.496496	0.548187	0.521063
71	348	te	2429	273	257	0.450469	0.481402	0.465422
72	135	n▁	2394	448	368	0.456034	0.556886	0.501439
73	33	E	2364	192	189	0.64794	0.659962	0.653896
74	182	ly▁	2354	188	158	0.316479	0.380795	0.345671
75	158	g▁	2330	382	212	0.241477	0.447323	0.313642
76	271	our▁	2316	128	117	0.7625	0.8125	0.786706
77	316	(▁	2301	134	141	0.958333	0.901639	0.929122
78	287	all▁	2259	132	131	0.550781	0.555118	0.552941
79	321	you▁	2245	100	109	0.562771	0.502778	0.531085
80	324	)▁	2233	134	141	0.949561	0.899174	0.923681
81	20	p	2211	259	190	0.349398	0.483146	0.405528
82	173	st	2203	244	218	0.315866	0.353333	0.333551
83	170	at	2163	316	267	0.47069	0.563265	0.512833
84	152	on	2161	272	216	0.438976	0.545156	0.486338
85	670	la	2065	264	206	0.437586	0.582461	0.499735
86	16	d	2056	304	191	0.339552	0.543173	0.417878
87	444	mo	2049	193	190	0.483516	0.488304	0.485898
88	203	ts▁	2047	242	198	0.336377	0.404635	0.367362
89	1280	ta	2006	153	169	0.434483	0.382911	0.40707
90	239	di	2001	188	151	0.393137	0.496403	0.438776
91	22	g	1988	281	237	0.423221	0.506818	0.461262
92	213	un	1983	181	240	0.425287	0.383865	0.403516
93	235	ri	1971	204	203	0.380319	0.399441	0.389646
94	349	also▁	1969	127	147	0.685039	0.597222	0.638124
95	56	N	1952	228	256	0.847087	0.748927	0.794989
96	53	H	1946	321	337	0.751427	0.721302	0.736057
97	351	was▁	1942	411	497	0.577934	0.482244	0.525771
98	23	y	1938	205	158	0.537433	0.683333	0.601665
99	140	an	1934	214	197	0.565506	0.619586	0.591312
100	353	can▁	1932	114	108	0.601852	0.645	0.622679
101	346	its▁	1880	120	143	0.28972	0.246269	0.266233
102	191	ur	1870	299	291	0.538745	0.562669	0.550448
103	207	tr	1852	241	226	0.41629	0.428459	0.422287
104	144	or	1849	224	239	0.577295	0.550384	0.563518
105	371	to	1833	227	202	0.413415	0.45679	0.434021
106	57	L	1830	237	225	0.683721	0.741497	0.711438
107	358	would▁	1825	91	100	0.5625	0.522727	0.541885
108	216	li	1816	178	170	0.348214	0.384532	0.365473
109	175	it	1803	168	153	0.470833	0.521739	0.494981
110	260	le	1795	232	165	0.333333	0.477564	0.392622
111	361	more▁	1783	144	131	0.592308	0.644628	0.617361
112	268	ate▁	1775	87	96	0.355422	0.310526	0.331461
113	325	ted▁	1769	215	179	0.263547	0.309249	0.284574
114	365	’▁	1766	2	138	0	0	0
115	188	ve▁	1765	184	163	0.366477	0.412338	0.388057
116	366	's▁	1765	-1	52	0	0	0
117	19	m	1738	245	196	0.414798	0.515568	0.459726
118	29	k	1734	263	166	0.354595	0.565556	0.435892
119	374	should▁	1720	39	69	0.539474	0.302083	0.387296
120	254	ne	1712	262	211	0.494558	0.617003	0.549037
121	332	one▁	1711	227	125	0.327697	0.591667	0.421786
122	25	b	1709	208	144	0.411616	0.587591	0.484108
123	394	us▁	1708	111	90	0.378931	0.481481	0.424095
124	7	t	1690	272	141	0.245179	0.477099	0.323905
125	280	ers▁	1687	237	191	0.447407	0.558333	0.496753
126	30	I	1682	80	105	0.842466	0.655678	0.737427
127	380	-▁	1676	134	161	0.645349	0.518519	0.575023
128	383	Mr▁	1673	16	12	0.392857	0.5	0.44
129	381	but▁	1671	138	140	0.883212	0.870504	0.876812
130	143	ti	1669	141	124	0.452899	0.530702	0.488723
131	388	:▁	1660	209	190	0.801471	0.888587	0.842784
132	55	O	1653	120	163	0.720238	0.534483	0.61361
133	24	w	1648	296	232	0.399281	0.524721	0.453486
134	49	F	1640	255	285	0.669382	0.599126	0.632308
135	46	1	1640	224	214	0.882616	0.90991	0.896055
136	52	G	1632	202	215	0.781726	0.747475	0.764217
137	477	bo	1627	233	196	0.484234	0.569892	0.523583
138	363	co	1593	228	202	0.445227	0.518817	0.479213
139	51	D	1577	248	250	0.753409	0.760664	0.757019
