Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	138	the▁	46682	2161	2972	0.860116	0.634158	0.730053
2	142	,▁	38245	2017	2367	0.775867	0.672944	0.72075
3	148	.▁	30112	1953	2058	0.966436	0.913233	0.939082
4	155	of▁	24385	1056	1447	0.701748	0.525333	0.600859
5	157	and▁	21525	971	1076	0.913981	0.829421	0.86965
6	156	to▁	21357	1227	1188	0.617117	0.642827	0.62971
7	163	a▁	16063	1249	1365	0.772887	0.713097	0.741789
8	165	in▁	15199	918	1090	0.658938	0.575761	0.614548
9	5	▁	13389	1074	983	0.528734	0.587506	0.556573
10	161	is▁	11390	410	571	0.661725	0.493563	0.565405
11	185	that▁	10133	457	709	0.683463	0.436588	0.532818
12	132	s▁	9896	732	820	0.564878	0.507849	0.534848
13	159	ed▁	8098	745	644	0.422974	0.491194	0.454539
14	199	for▁	7785	378	362	0.557018	0.579079	0.567834
15	11	n	7676	664	594	0.460535	0.524694	0.490525
16	153	on▁	6934	593	515	0.450362	0.533214	0.488299
17	131	e▁	6515	710	510	0.463918	0.614512	0.528701
18	134	t▁	5808	699	374	0.286364	0.553454	0.377437
19	162	ing▁	5775	426	207	0.198174	0.409722	0.267138
20	10	i	5678	430	482	0.508889	0.517974	0.513391
21	222	I▁	5584	248	247	0.864035	0.877216	0.870576
22	225	be▁	5531	211	268	0.476804	0.37247	0.418228
23	218	are▁	5347	190	270	0.488506	0.347518	0.406124
24	164	es▁	5033	328	274	0.391954	0.455285	0.421252
25	237	with▁	4867	293	276	0.531481	0.562745	0.546667
26	229	it▁	4862	273	264	0.455154	0.478261	0.466421
27	184	as▁	4810	304	375	0.481369	0.501574	0.491263
28	242	this▁	4741	111	173	0.646789	0.418724	0.508349
29	35	-	4622	375	278	0.417582	0.523485	0.464575
30	246	The▁	4453	302	375	0.754153	0.61096	0.675046
31	248	we▁	4412	108	109	0.799645	0.789474	0.794527
