Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
123	285	dies	762752	244	265	0.769397	0.716734	0.742132
124	44	G	761385	441	421	0.810049	0.850471	0.829768
125	246	ter	759886	407	497	0.67802	0.60004	0.636651
126	243	der	746696	345	323	0.643007	0.685855	0.663741
127	53	ß	736877	432	445	0.673858	0.658354	0.666016
128	283	gen	733910	411	413	0.623556	0.624665	0.62411
129	388	gi	728053	363	371	0.706154	0.685435	0.69564
130	263	eu	711300	381	378	0.774762	0.812863	0.793355
131	320	Ge	710719	503	496	0.709556	0.711932	0.710742
132	237	mi	699429	411	399	0.688964	0.715219	0.701846
133	250	ab	696879	439	379	0.586405	0.673669	0.627015
134	267	ge▁	695421	304	307	0.556134	0.552083	0.554101
135	274	sp	688402	338	378	0.654497	0.610448	0.631706
136	297	wei	685818	423	661	0.727523	0.623987	0.671789
137	290	ati	684236	180	241	0.833333	0.645455	0.727459
138	289	rei	681613	402	363	0.686057	0.757214	0.719881
139	299	St	678526	537	543	0.737448	0.728863	0.73313
140	288	ber	670106	357	418	0.713494	0.611258	0.658431
141	319	In	668311	266	286	0.746	0.69092	0.717405
142	293	an▁	667524	505	431	0.582384	0.663668	0.620375
143	42	ö	663841	376	397	0.749516	0.709366	0.728888
144	417	so	662468	266	242	0.663386	0.722458	0.691663
145	427	eit	648893	283	315	0.642138	0.568985	0.603352
146	357	zi	648598	281	294	0.687179	0.652625	0.669457
147	57	1	645818	456	458	0.974036	0.974359	0.974197
148	318	Re	641552	324	360	0.810658	0.724848	0.765355
149	58	C	637475	438	465	0.856933	0.808553	0.83204
150	295	dem▁	633596	461	365	0.490408	0.635707	0.553684
151	296	lich▁	632852	313	334	0.674825	0.633663	0.653597
152	334	li	628150	379	382	0.792178	0.783283	0.787705
153	253	it	625972	259	276	0.768176	0.721569	0.744143
154	372	ru	621833	387	449	0.789683	0.662531	0.72054
155	300	all	620334	271	265	0.702756	0.719512	0.711035
156	200	r▁	605058	326	300	0.72623	0.782811	0.753459
157	304	im▁	600615	380	364	0.628131	0.659574	0.643469
158	291	il	596746	337	352	0.831104	0.804466	0.817568
159	492	ll	589632	382	373	0.723901	0.744821	0.734212
160	310	Sie▁	582389	141	191	0.773438	0.595092	0.672644
161	266	ier	580221	336	442	0.667192	0.565849	0.612356
162	284	ungen▁	579022	194	216	0.649457	0.592965	0.619926
163	330	l▁	573750	360	360	0.721722	0.719403	0.72056
164	312	nicht▁	570673	342	352	0.902821	0.878695	0.890595
165	317	den	559616	257	251	0.694444	0.713362	0.703776
166	314	werden▁	551587	241	267	0.736486	0.656746	0.694334
167	316	dass▁	542761	445	416	0.716495	0.752646	0.734125
168	343	lie	536242	224	225	0.64218	0.631944	0.637021
169	459	lu	533940	235	225	0.605845	0.632013	0.618653
170	321	ach	532420	361	325	0.598485	0.672798	0.63347
171	311	än	531185	238	270	0.743304	0.658635	0.698412
172	51	U	530195	276	290	0.837415	0.784483	0.810085
173	347	ot	524940	277	286	0.864954	0.838481	0.851512
174	325	An	524874	308	260	0.562937	0.665323	0.609862
175	55	Z	520454	274	282	0.713439	0.694656	0.703922
176	308	ff	519894	283	302	0.77904	0.735612	0.756703
177	324	sich▁	515337	363	236	0.452381	0.691964	0.547093
178	252	ur	511223	343	380	0.802688	0.726433	0.762659
179	415	kt	509220	182	184	0.696787	0.676136	0.686306
180	206	au	507987	384	349	0.621345	0.682965	0.6507
181	305	ah	507401	260	213	0.648459	0.796954	0.715079
182	411	vor	503863	289	230	0.556985	0.706019	0.622709
183	327	Die▁	500992	368	398	0.773842	0.715365	0.743455
184	340	aus	497327	274	218	0.470588	0.612121	0.532104
185	380	et	495949	315	274	0.67509	0.787308	0.726894
186	61	O	495466	264	252	0.758475	0.804688	0.780898
187	328	men▁	493592	190	190	0.680791	0.684659	0.68272
188	233	hr	493478	267	276	0.709902	0.688934	0.699261
189	447	du	491698	176	178	0.630435	0.616766	0.623526
190	329	Un	489805	269	295	0.859438	0.784672	0.820355
191	56	y	489481	263	264	0.863636	0.860656	0.862143
192	352	ahr	487220	423	423	0.770235	0.767361	0.768795
193	332	wir▁	479175	120	122	0.872449	0.860269	0.866316
194	400	ger	476515	319	323	0.640715	0.625	0.63276
195	414	vi	469531	291	327	0.871377	0.78013	0.823233
196	365	and	469321	296	257	0.551282	0.644105	0.59409
197	335	-▁	468064	258	163	0.492147	0.820175	0.615164
198	62	J	466229	488	488	0.834105	0.83256	0.833332
199	323	um▁	462850	309	318	0.640774	0.62037	0.630407
200	359	lei	460208	215	191	0.589109	0.662942	0.623849
201	292	bei	459474	256	248	0.65	0.667382	0.658576
202	259	ell	459399	243	241	0.742222	0.755255	0.748682
203	52	0	450608	260	273	0.956751	0.9182	0.937079
204	419	Wi	450017	215	218	0.840034	0.822816	0.831335
205	363	rä	447547	231	205	0.647887	0.731183	0.68702
206	393	men	447119	124	142	0.735294	0.630435	0.678839
207	338	auch▁	441751	207	163	0.663415	0.840491	0.741528
208	286	o▁	441714	237	253	0.841121	0.786957	0.813138
209	336	ter▁	437879	398	396	0.661202	0.669452	0.665302
210	341	gt▁	432823	286	298	0.595152	0.577193	0.586035
211	345	Sch	430148	325	323	0.641329	0.652894	0.64706
212	344	hal	421673	180	165	0.54386	0.591195	0.56654
213	27	.	416091	96	119	0.942029	0.744318	0.831584
214	472	we	413523	286	194	0.480355	0.697297	0.568844
215	389	ür	411565	237	257	0.68578	0.632911	0.658286
216	346	sind▁	410395	203	215	0.642132	0.608173	0.624691
217	390	schen▁	407823	233	277	0.770167	0.643396	0.701097
218	301	nen▁	405722	158	166	0.5625	0.553377	0.557901
219	432	je	401948	161	207	0.765823	0.6025	0.674414
220	350	ssen▁	400136	186	178	0.521696	0.549686	0.535325
221	239	em▁	399645	174	159	0.555233	0.619205	0.585477
222	351	(▁	398746	145	133	0.906504	0.99115	0.946939
223	242	mm	398015	206	200	0.645408	0.671123	0.658014
224	226	ch▁	396347	224	196	0.588997	0.671196	0.627415
225	356	st▁	395549	303	269	0.57581	0.650327	0.610804
226	354	)▁	395329	145	133	0.906504	0.99115	0.946939
227	277	eit▁	395141	242	248	0.751101	0.725035	0.737838
228	355	als▁	394894	345	332	0.757764	0.789216	0.77317
229	358	k▁	391357	170	201	0.780922	0.661172	0.716075
230	361	wen	390874	162	183	0.735043	0.657895	0.694332
231	375	chen▁	386983	213	216	0.570388	0.563415	0.56688
232	364	wird▁	385975	176	193	0.617708	0.552778	0.583442
233	353	einer▁	383975	275	236	0.612403	0.727414	0.664972
234	303	el▁	383808	187	175	0.755618	0.809091	0.781441
235	367	wie▁	383409	187	188	0.795977	0.77809	0.786932
236	368	über▁	382950	170	214	0.631737	0.502404	0.559696
237	362	ungs	382641	145	142	0.523457	0.537879	0.53057
238	379	for	382489	123	131	0.629167	0.589147	0.6085
239	404	Er	381705	263	249	0.702899	0.74375	0.722747
240	370	Pro	378175	150	163	0.842857	0.780761	0.810621
241	65	x	373053	193	184	0.839744	0.863095	0.851259
242	339	ischen▁	369206	96	102	0.764045	0.715789	0.73913
243	477	geb	368340	211	206	0.492462	0.506873	0.499564
244	47	V	367441	219	203	0.82381	0.889744	0.855508
245	413	Ein	363323	225	212	0.680556	0.719512	0.699492
246	366	einen▁	360725	262	282	0.633333	0.583969	0.607651
247	387	ar▁	356302	342	328	0.663961	0.705747	0.684217
248	398	se▁	354847	155	205	0.656463	0.515957	0.577791
249	397	imm	352640	165	169	0.716981	0.7	0.708389
250	381	kti	352147	161	178	0.769316	0.690476	0.727767
251	198	ich	351733	218	224	0.85	0.8375	0.843704
252	261	lich	351100	165	171	0.605096	0.579268	0.5919
253	378	stell	350884	171	132	0.381818	0.490667	0.429453
254	384	mp	348334	281	263	0.787149	0.838256	0.811899
255	382	aus▁	346675	268	231	0.538095	0.622274	0.577131
256	287	Au	345162	238	227	0.665138	0.691473	0.67805
257	450	tra	344585	147	160	0.624113	0.571895	0.596865
258	464	cht▁	339606	206	187	0.585	0.65	0.615789
259	377	oll	338091	197	209	0.71337	0.67265	0.692412
260	230	ich▁	335427	108	105	0.843085	0.856383	0.849682
261	395	oder▁	335090	123	127	0.95	0.916667	0.933036
262	399	rü	332656	282	258	0.632296	0.701064	0.664906
263	451	Aus	332598	93	95	0.494505	0.483871	0.48913
