Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
451	92	Y	174	43	29	0.585366	0.87037	0.699969
452	93	X	167	4	3	0.75	1	0.857143
453	94	”	118	-1	2	0	0	0
454	95	&	114	6	11	1	0.6875	0.814815
455	97	á	94	3	5	1	0.666667	0.8
456	99	í	68	1	1	1	1	1
457	102	’	65	2	-1	0	1	0
458	105	+	54	2	2	1	1	1
459	449	ichti	40	1	-1	0	1	0
460	108	€	39	-1	1	0	0	0
461	114	$	28	2	-1	0	1	0
462	119	#	22	1	-1	0	1	0
463	123	@	17	2	-1	0	1	0
464	427	räsi	16	1	-1	0	1	0
465	125	ć	16	1	-1	0	1	0
