Experiment	n:	src_toks	src_mean_len	src_EMD	src_effective_n	src_f90p	src_f95p	src_f98p	src_f99p	src_f100p	tgt_toks	tgt_mean_len	tgt_EMD	tgt_effective_n	tgt_f90p	tgt_f95p	tgt_f98p	tgt_f99p	tgt_f100p	BLEU_dev	prec_corr_dev	recall_corr_dev	BLEU_test	prec_corr_test	recall_corr_test
runs-deen-500k/077-deen-32k32k-r1	32,000	15,007,563	30.02	0.642	31,622	45	21	6	3	1	14,422,761	28.85	0.718	31,503	25	11	3	2	1	32.6	0.12	-0.196	30.3	0.137	-0.165
runs-deen-500k/088-deen-48k48k-r1	48,000	14,447,743	28.9	0.68	47,268	25	12	4	2	1	14,123,065	28.25	0.763	46,934	13	6	2	1	1	31.8	0.143	-0.203	30	0.166	-0.18
runs-deen-500k/099-deen-64k64k-r1	64,000	14,128,081	28.26	0.708	62,803	16	8	3	1	1	13,963,709	27.93	0.794	62,064	8	4	2	1	1	31.5	0.165	-0.221	29.3	0.183	-0.192
																									
runs-deen-001m/000-deen-chars-r1	Chars	154,755,230	154.76	0.733	127	2264	1984	1475	1437	1418	140,365,478	140.37	0.759	122	2122	1562	1362	1226	1219	33.8	-0.362	-0.348	31	-0.371	-0.415
runs-deen-001m/011-deen-.5k.5k-r1	500	69,246,362	69.25	0.413	493	14882	3340	2040	1590	1408	62,006,640	62.01	0.418	492	8567	3203	1748	1451	1222	35.4	-0.237	-0.248	32.2	-0.234	-0.235
runs-deen-001m/022-deen-01k01k-r1	1,000	57,902,149	57.9	0.441	980	10246	3311	2004	1476	48	51,918,329	51.92	0.459	981	7427	3278	1680	1222	217	35.9	-0.151	-0.151	32.8	-0.164	-0.155
runs-deen-001m/033-deen-02k02k-r1	2,000	49,367,527	49.37	0.474	1,976	4484	2310	806	281	1	43,999,593	44	0.49	1,977	3273	1641	545	256	1	35.6	-0.111	-0.17	33	-0.108	-0.146
runs-deen-001m/044-deen-04k04k-r1	4,000	42,357,116	42.36	0.506	3,959	1697	747	262	69	1	37,778,027	37.78	0.527	3,961	1371	677	215	67	1	36	-0.033	-0.152	33.5	-0.03	-0.144
runs-deen-001m/055-deen-08k08k-r1	8,000	36,756,476	36.76	0.539	7,948	645	279	75	24	1	33,306,713	33.31	0.577	7,931	449	181	55	20	1	36	-0.004	-0.178	33.6	0.033	-0.158
runs-deen-001m/066-deen-16k16k-r1	16,000	32,735,911	32.74	0.583	15,902	235	102	27	8	1	30,480,730	30.48	0.642	15,850	155	69	19	7	1	35.5	0.06	-0.162	33	0.074	-0.164
runs-deen-001m/077-deen-32k32k-r1	32,000	30,040,990	30.04	0.642	31,695	88	39	10	4	1	28,867,298	28.87	0.717	31,564	49	21	6	3	1	36	0.104	-0.17	33	0.118	-0.151
runs-deen-001m/088-deen-48k48k-r1	48,000	28,931,232	28.93	0.679	47,388	49	23	6	3	1	28,271,875	28.27	0.761	47,093	25	11	4	2	1	35	0.118	-0.175	32.2	0.149	-0.147
runs-deen-001m/099-deen-64k64k-r1	64,000	28,296,139	28.3	0.706	63,028	32	15	5	2	1	27,954,751	27.95	0.79	62,415	16	8	3	2	1	34.9	0.121	-0.191	32.7	0.159	-0.17
																									
runs-deen-all/000-deen-chars-r1	Chars	700,288,711	155.21	0.733	127	9948	8510	6932	6771	6535	634,511,409	140.63	0.755	119	10645	7108	6724	6417	5998	34.3	-0.364	-0.354	31.2	-0.411	-0.447
runs-deen-all/011-deen-.5k.5k-r1	500	312,013,149	69.15	0.413	493	63475	15122	9532	7606	6539	279,437,763	61.93	0.418	492	42382	14410	8686	7111	6002	37	-0.234	-0.218	33.4	-0.209	-0.236
runs-deen-all/022-deen-01k01k-r1	1,000	260,882,911	57.82	0.442	983	46617	14752	8174	6539	1	233,964,274	51.86	0.459	981	34108	14896	8429	5709	1043	37.8	-0.164	-0.142	33.7	-0.154	-0.134
runs-deen-all/033-deen-02k02k-r1	2,000	222,622,637	49.34	0.473	1,977	20159	10014	3461	1092	1	198,291,000	43.95	0.49	1,977	14840	7441	2527	1341	1	38	-0.111	-0.16	33.9	-0.096	-0.139
