Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	5	▁	854660	2718	3484	0.846272	0.6942	0.76273
2	172	the▁	723295	2161	2753	0.876961	0.691761	0.773429
3	175	,▁	600255	2017	2130	0.801218	0.754528	0.777173
4	179	.▁	519997	1957	1873	0.948877	0.968704	0.958688
5	165	s▁	437964	1717	1855	0.785909	0.723206	0.753255
6	17	c	434281	1330	1476	0.745559	0.677003	0.709629
7	11	n	433033	1807	1674	0.713744	0.752634	0.732673
8	10	i	420902	1457	1430	0.749973	0.788578	0.768791
9	188	of▁	379082	1054	1261	0.70764	0.616887	0.659154
10	189	and▁	358525	1014	1076	0.907419	0.854586	0.880211
11	190	to▁	338256	1295	1150	0.673694	0.763962	0.715994
12	164	e▁	337638	1761	1745	0.75354	0.760414	0.756961
13	178	re	323507	1126	1178	0.734415	0.70387	0.718818
14	192	a▁	321383	1436	1485	0.805761	0.828099	0.816777
15	19	m	304165	1169	1181	0.727176	0.71762	0.722367
16	6	e	265271	1188	1066	0.670562	0.74514	0.705887
17	7	t	250302	1009	949	0.69585	0.743023	0.718663
18	21	f	249043	929	918	0.69624	0.701116	0.69867
19	198	in▁	247715	939	1023	0.720303	0.680545	0.699859
20	15	l	247607	963	870	0.67623	0.749235	0.710863
21	174	y▁	238763	1131	1044	0.714366	0.784043	0.747584
22	16	d	236508	1092	1027	0.742261	0.786855	0.763908
23	169	d▁	232054	1550	1566	0.739966	0.73548	0.737716
24	171	in	220002	728	738	0.680599	0.66661	0.673532
25	25	b	217690	817	723	0.635147	0.712398	0.671558
26	14	h	216865	1247	1220	0.753697	0.776997	0.76517
27	22	g	213872	978	883	0.68048	0.734681	0.706543
28	173	an	213067	851	894	0.808548	0.758584	0.782769
29	183	ar	206274	736	698	0.687712	0.730965	0.708679
30	168	t▁	204076	940	722	0.557231	0.727962	0.631256
31	260	de	200609	775	791	0.700228	0.689214	0.694677
32	13	s	199022	1081	983	0.708568	0.792792	0.748318
33	193	ed▁	195326	996	1042	0.688447	0.668231	0.678188
