Reporting BLEU sacre_bleu
Experiment/BLEU	newstest2014	newstest2018	newstest2019
runs-deen-030k/088-deen-48k48k-r1/test_*	NA-Hyp	NA-Hyp	NA-Hyp
runs-deen-030k/099-deen-64k64k-r1/test_*	NA-Hyp	NA-Hyp	NA-Hyp
runs-deen-500k/000-deen-chars-r1/test_step200000_beam4_ens10_lp0.6	24.0	32.1	29.7
runs-deen-500k/011-deen-.5k.5k-r1/test_step144000_beam4_ens10_lp0.6	24.8	33.4	30.4
runs-deen-500k/022-deen-01k01k-r1/test_step120000_beam4_ens10_lp0.6	25.2	33.5	31.0
runs-deen-500k/033-deen-02k02k-r1/test_step161000_beam4_ens10_lp0.6	25.1	33.9	30.8
runs-deen-500k/044-deen-04k04k-r1/test_step167000_beam4_ens10_lp0.6	25.3	33.7	31.1
runs-deen-500k/055-deen-08k08k-r1/test_step130000_beam4_ens10_lp0.6	25.1	33.6	31.1
runs-deen-500k/066-deen-16k16k-r1/test_step77000_beam4_ens10_lp0.6	25.2	33.9	31.1
runs-deen-500k/077-deen-32k32k-r1/test_step70000_beam4_ens10_lp0.6	24.4	32.6	30.3
runs-deen-500k/088-deen-48k48k-r1/test_step53000_beam4_ens10_lp0.6	24.2	31.8	30.0
runs-deen-500k/099-deen-64k64k-r1/test_step46000_beam4_ens10_lp0.6	23.6	31.5	29.3
runs-deen-all/000-deen-chars-r1/test_step200000_beam4_ens10_lp0.6	25.8	34.3	31.2
runs-deen-all/011-deen-.5k.5k-r1/test_step200000_beam4_ens10_lp0.6	28.1	37.0	33.4
runs-deen-all/022-deen-01k01k-r1/test_step200000_beam4_ens10_lp0.6	28.6	37.8	33.7
runs-deen-all/033-deen-02k02k-r1/test_step200000_beam4_ens10_lp0.6	28.7	38.0	33.9
runs-deen-all/044-deen-04k04k-r1/test_step200000_beam4_ens10_lp0.6	29.4	38.4	34.9
runs-deen-all/055-deen-08k08k-r1/test_step200000_beam4_ens10_lp0.6	29.7	38.5	35.1
runs-deen-all/066-deen-16k16k-r1/test_step200000_beam4_ens10_lp0.6	29.8	39.0	35.6
runs-deen-all/077-deen-32k32k-r1/test_step200000_beam4_ens10_lp0.6	30.2	39.2	35.9
runs-deen-all/088-deen-48k48k-r1/test_step175000_beam4_ens10_lp0.6	30.0	39.1	36.2
runs-deen-all/099-deen-64k64k-r1/test_step185000_beam4_ens10_lp0.6	30.3	39.2	36.2
Reporting BLEU sacre_bleu
Experiment/BLEU	IITBv1_5_dev	IITBv1_5_test
runs-enhi-030k/000-enhi-chars-r1/test_step29000_beam4_ens10_lp0.6	0.4	0.7
runs-enhi-030k/011-enhi-.5k.5k-r1/test_step17000_beam4_ens10_lp0.6	1.1	1.5
runs-enhi-030k/022-enhi-01k01k-r1/test_step17000_beam4_ens10_lp0.6	1.4	1.5
runs-enhi-030k/033-enhi-02k02k-r1/test_step16000_beam4_ens10_lp0.6	1.3	1.8
runs-enhi-030k/044-enhi-04k04k-r1/test_step16000_beam4_ens10_lp0.6	1.8	1.9
runs-enhi-030k/055-enhi-08k08k-r1/test_step16000_beam4_ens10_lp0.6	1.9	2.1
runs-enhi-030k/066-enhi-16k16k-r1/test_step16000_beam4_ens10_lp0.6	1.9	2.0
runs-enhi-030k/077-enhi-32k32k-r1/test_step16000_beam4_ens10_lp0.6	2.1	1.9
runs-enhi-030k/088-enhi-48k48k-r1/test_step16000_beam4_ens10_lp0.6	1.9	2.0
runs-enhi-030k/099-enhi-64k64k-r1/test_step16000_beam4_ens10_lp0.6	1.9	2.0
runs-enhi-500k/000-enhi-chars-r1/test_step119000_beam4_ens10_lp0.6	15.8	15.4
runs-enhi-500k/011-enhi-.5k.5k-r1/test_step87000_beam4_ens10_lp0.6	15.8	15.8
runs-enhi-500k/022-enhi-01k01k-r1/test_step66000_beam4_ens10_lp0.6	16.3	15.6
runs-enhi-500k/033-enhi-02k02k-r1/test_step60000_beam4_ens10_lp0.6	16.1	15.7
runs-enhi-500k/044-enhi-04k04k-r1/test_step59000_beam4_ens10_lp0.6	15.6	15.7
runs-enhi-500k/055-enhi-08k08k-r1/test_step36000_beam4_ens10_lp0.6	15.3	15.7
runs-enhi-500k/066-enhi-16k16k-r1/test_step38000_beam4_ens10_lp0.6	15.5	15.4
runs-enhi-500k/077-enhi-32k32k-r1/test_step31000_beam4_ens10_lp0.6	14.1	14.5
runs-enhi-500k/088-enhi-48k48k-r1/test_step29000_beam4_ens10_lp0.6	13.4	13.9
runs-enhi-500k/099-enhi-64k64k-r1/test_step27000_beam4_ens10_lp0.6	13.2	13.8
runs-enhi-all/000-enhi-chars-r1/test_step200000_beam4_ens10_lp0.6	16.2	16.8
runs-enhi-all/011-enhi-.5k.5k-r1/test_step168000_beam4_ens10_lp0.6	17.8	17.5
runs-enhi-all/022-enhi-01k01k-r1/test_step85000_beam4_ens10_lp0.6	17.3	17.2
runs-enhi-all/033-enhi-02k02k-r1/test_step200000_beam4_ens10_lp0.6	18.4	18.0
runs-enhi-all/044-enhi-04k04k-r1/test_step163000_beam4_ens10_lp0.6	17.8	17.9
runs-enhi-all/055-enhi-08k08k-r1/test_step96000_beam4_ens10_lp0.6	17.3	18.1
runs-enhi-all/066-enhi-16k16k-r1/test_step87000_beam4_ens10_lp0.6	17.0	17.7
runs-enhi-all/077-enhi-32k32k-r1/test_step62000_beam4_ens10_lp0.6	16.8	17.3
runs-enhi-all/088-enhi-48k48k-r1/test_step55000_beam4_ens10_lp0.6	16.3	16.9
runs-enhi-all/099-enhi-64k64k-r1/test_step46000_beam4_ens10_lp0.6	16.3	16.7
