Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
332	425	been▁	44501	138	107	0.367647	0.47619	0.414938
333	372	ations▁	44481	76	94	0.6	0.483333	0.535385
334	414	comm	43976	108	113	0.543689	0.518692	0.530896
335	427	'▁	43939	100	71	0.101562	0.162791	0.125086
336	430	gh▁	43736	146	113	0.478571	0.614679	0.538153
337	401	are	43453	80	96	0.544872	0.456989	0.497076
338	488	der	43378	117	117	0.618421	0.617391	0.617906
339	263	tions▁	43239	69	85	0.559701	0.446429	0.496689
340	436	This▁	42842	69	74	0.550725	0.513514	0.531469
341	413	ous▁	42742	89	79	0.534091	0.603896	0.566853
342	399	ary▁	42541	100	74	0.5625	0.753521	0.644147
343	69	8	42485	81	80	0.942029	0.955882	0.948905
344	322	ess▁	42284	56	57	0.554545	0.54386	0.549151
345	318	ents▁	42205	131	108	0.609333	0.745098	0.670411
346	439	other▁	42009	104	101	0.732323	0.75	0.741056
347	441	It▁	41812	94	82	0.510638	0.585366	0.545455
348	482	off	41286	169	121	0.495885	0.677686	0.572704
349	334	tive▁	41157	50	56	0.540816	0.482143	0.509797
350	297	sion▁	41027	106	94	0.524272	0.593407	0.556701
351	444	fac	40921	82	89	0.461538	0.434524	0.447624
352	418	ates▁	40751	49	53	0.632653	0.584906	0.607843
353	494	ren	40485	146	148	0.726619	0.721429	0.724014
354	70	6	40345	101	97	0.933333	0.974419	0.953434
355	447	ver▁	40271	108	109	0.461905	0.449541	0.455639
356	446	should▁	40228	48	75	0.638298	0.4	0.491803
357	386	very▁	40216	39	45	0.538462	0.465909	0.499565
358	448	ement▁	39374	68	67	0.514925	0.522388	0.51863
359	450	ks▁	39302	114	122	0.610092	0.567227	0.587879
360	71	J	38927	142	140	0.909561	0.922481	0.915975
361	453	Mr▁	38832	78	7	0.0597015	0.571429	0.108108
362	496	sup	38748	57	55	0.518519	0.537736	0.527952
363	465	mar	38237	90	68	0.625	0.833333	0.714286
364	458	king▁	38230	107	76	0.328571	0.459459	0.383146
365	72	7	38215	121	118	0.936594	0.956044	0.946219
366	384	ance▁	38109	84	63	0.359756	0.475806	0.409722
367	463	clu	37951	84	87	0.71875	0.70122	0.709877
368	454	am▁	37927	135	106	0.658793	0.825243	0.732683
369	486	ob	37476	55	66	0.537037	0.446154	0.487395
370	470	sec	37221	112	122	0.75	0.690265	0.718894
371	357	est▁	37110	85	91	0.725	0.676471	0.699895
372	477	wel	36967	100	93	0.609375	0.63587	0.62234
373	471	Presid	36867	20	22	0.789474	0.714286	0.75
374	474	Par	36665	48	27	0.391304	0.666667	0.493151
375	476	they▁	36357	155	138	0.566176	0.62037	0.592036
376	478	must▁	36267	38	50	0.473684	0.36	0.409091
377	407	ence▁	36086	98	83	0.457447	0.542683	0.496433
378	457	ase▁	35975	87	62	0.517442	0.733333	0.606756
379	380	tional▁	35825	42	35	0.634146	0.764706	0.693333
380	484	do▁	35823	70	71	0.392308	0.366197	0.378803
381	179	es	35750	94	67	0.423077	0.590909	0.493103
382	481	new▁	35630	90	98	0.954545	0.888298	0.920231
383	485	Commission▁	35538	11	17	0.95	0.59375	0.730769
384	473	ad▁	35386	125	139	0.520325	0.466418	0.491899
385	301	ow▁	35190	103	84	0.542553	0.658228	0.594819
386	466	sib	34954	68	83	0.575758	0.475309	0.520733
387	490	day▁	34896	219	225	0.920034	0.892157	0.905881
388	489	there▁	34890	90	97	0.466292	0.450549	0.458286
389	479	time▁	34747	93	71	0.545455	0.710145	0.616999
390	498	In	34525	56	65	0.62963	0.532787	0.577174
391	492	only▁	34491	54	73	0.777778	0.576389	0.662108
392	493	bec	34366	113	142	0.672727	0.541045	0.599743
393	495	like▁	34128	39	39	0.405405	0.410256	0.407816
394	307	ure▁	33186	62	64	0.565574	0.546875	0.556067
395	73	Y	33108	104	100	0.751736	0.781362	0.766263
396	467	ard▁	32961	88	87	0.666667	0.677215	0.6719
397	312	sid	31144	92	66	0.413793	0.560606	0.476139
398	74	/	31098	24	15	0.52381	0.846154	0.647059
399	289	so▁	31021	56	88	0.6	0.37931	0.464789
400	480	ose▁	30888	75	47	0.260274	0.413043	0.319328
401	75	?	30450	56	57	0.982143	0.964912	0.973451
