Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
237	230	no	34937	87	57	0.428571	0.666667	0.521739
238	489	there▁	34891	56	62	0.75	0.652542	0.697885
239	175	is	34890	63	67	0.647541	0.617188	0.632
240	503	te▁	34869	55	65	0.75	0.630769	0.685237
241	484	do▁	34838	51	64	0.59	0.468254	0.522124
242	492	only▁	34494	44	64	0.818182	0.572581	0.673695
243	1044	ide	34382	92	83	0.712121	0.790123	0.749097
244	399	ary▁	34321	43	36	0.658537	0.794118	0.72
245	479	time▁	34318	76	76	0.675676	0.675676	0.675676
246	288	par	34278	59	51	0.732143	0.84	0.782372
247	495	like▁	34129	43	34	0.463415	0.5625	0.508172
248	8	a	33898	61	53	0.591667	0.682692	0.633929
249	47	j	33730	87	89	0.739583	0.744589	0.742078
250	451	ons▁	33712	43	40	0.702381	0.75	0.72541
251	165	om	33393	59	65	0.857143	0.774194	0.813559
252	357	est▁	33375	70	61	0.742857	0.852459	0.793893
253	591	ments▁	33333	16	16	0.6875	0.6875	0.6875
254	343	gi	33031	61	59	0.721311	0.745763	0.733333
255	506	about▁	32875	86	93	0.584337	0.538462	0.560462
256	218	le▁	32637	64	68	0.666667	0.626866	0.646154
257	309	ev	32621	77	96	0.671233	0.545455	0.601842
258	187	as	32599	144	117	0.722222	0.890909	0.797746
259	1103	Re	32524	88	81	0.779762	0.86	0.817918
260	1660	ali	32312	43	43	0.682927	0.6875	0.685206
261	381	inter	32115	26	33	0.769231	0.609375	0.680035
262	424	fi	32088	70	59	0.572464	0.684211	0.623369
263	395	st▁	31881	77	88	0.802632	0.695402	0.745179
264	365	we	31688	115	92	0.603774	0.763566	0.674333
265	400	all	31504	79	59	0.442308	0.596491	0.507957
266	421	St	31448	72	85	0.838462	0.701299	0.763771
267	180	h▁	31420	109	103	0.710526	0.780392	0.743822
268	422	pre	31233	67	77	0.80303	0.709459	0.75335
269	530	up▁	31206	108	70	0.4375	0.673913	0.530562
270	526	/▁	31098	5	8	0.8	0.571429	0.666667
271	65	V	30983	48	41	0.8	0.963964	0.874362
272	907	car	30960	79	55	0.586667	0.833333	0.688576
273	196	em	30947	63	61	0.741935	0.766667	0.754098
274	308	out▁	30886	120	48	0.263158	0.659574	0.376214
275	325	any▁	30763	32	20	0.3125	0.5	0.384615
276	529	A▁	30723	92	90	0.694444	0.715116	0.704629
277	531	President▁	30659	30	39	0.933333	0.717949	0.811594
278	209	su	30642	94	82	0.703297	0.814103	0.754654
279	533	?▁	30450	50	51	0.979592	0.969388	0.974463
280	191	th▁	30289	126	142	0.857143	0.757937	0.804493
281	315	el▁	30127	48	39	0.684783	0.842105	0.755339
282	289	so▁	30111	49	43	0.521277	0.597561	0.556818
283	501	200	30053	17	18	1	0.944444	0.971429
284	302	gr	30004	61	38	0.508772	0.848485	0.636114
285	385	ies▁	29997	45	52	0.772727	0.683673	0.725478
286	656	ass	29900	53	48	0.45	0.5	0.473684
287	376	use▁	29792	21	27	0.666667	0.518519	0.583333
288	541	who▁	29675	137	143	0.623077	0.597122	0.609824
289	575	no▁	29652	57	51	0.576923	0.638298	0.606061
290	233	for	29615	66	69	0.803279	0.777778	0.790323
291	546	these▁	29505	25	28	0.419048	0.36	0.387286
292	287	ir	29480	55	63	0.807692	0.70339	0.751941
293	548	1▁	29338	43	42	0.761905	0.780488	0.771084
294	366	de▁	29184	48	36	0.604167	0.805556	0.690476
295	450	ks▁	29145	41	46	0.7	0.608696	0.651163
296	585	fl	29048	58	55	0.63	0.644231	0.637036
297	63	3	29008	78	73	0.92	0.992754	0.954993
298	527	fe	28936	110	91	0.660131	0.783333	0.716474
299	993	att	28759	77	87	0.646667	0.591463	0.617834
300	379	av	28603	144	125	0.70922	0.827731	0.763906
301	1384	De	28545	93	68	0.633333	0.858209	0.728819
302	1054	sc	28396	64	43	0.483871	0.731707	0.582524
303	310	et▁	28393	30	27	0.553571	0.615385	0.582844
304	458	king▁	28321	46	16	0.0869565	0.25	0.129032
305	456	go	28151	105	65	0.457895	0.730159	0.56283
306	564	if▁	28126	50	44	0.617021	0.674419	0.644444
307	473	ad▁	27867	97	81	0.563158	0.681818	0.616833
308	568	most▁	27838	39	39	0.794872	0.794872	0.794872
309	307	ure▁	27821	18	26	0.722222	0.5	0.590909
310	390	dis	27819	63	65	0.598361	0.571429	0.584585
311	790	br	27747	78	75	0.590909	0.613333	0.601912
312	202	wi	27687	51	49	0.642857	0.666667	0.654545
313	347	cont	27587	19	16	0.583333	0.6875	0.631148
314	926	ig	27250	86	85	0.664706	0.672619	0.668639
315	579	–▁	27170	-1	61	0	0	0
316	771	rem	27139	57	63	0.607143	0.539683	0.571429
317	232	ver	26949	48	41	0.723404	0.829268	0.772727
318	554	ari	26837	57	53	0.716981	0.78125	0.747737
319	66	4	26807	53	50	0.95	1	0.974359
320	431	min	26581	71	56	0.586957	0.745455	0.656778
321	282	p▁	26487	156	149	0.815603	0.859398	0.836928
322	469	acc	26464	70	89	0.642857	0.529762	0.580856
323	177	il	26314	55	49	0.703704	0.797872	0.747835
324	598	Union▁	26310	9	9	1	1	1
325	454	am▁	26232	79	100	0.794521	0.64751	0.713521
326	599	people▁	26223	105	106	0.865	0.852941	0.858928
327	604	into▁	26124	68	31	0.269231	0.580645	0.367883
328	627	x▁	26094	50	43	0.653061	0.768293	0.706006
329	522	5▁	26003	39	46	0.952381	0.772727	0.853199
330	190	pro	26000	57	46	0.637255	0.825	0.719075
331	303	str	26000	54	46	0.444444	0.522222	0.480204
332	1271	rela	25970	21	16	0.619048	0.8125	0.702703
333	297	sion▁	25939	31	29	0.533333	0.571429	0.551724
334	607	Europe▁	25883	20	19	0.894737	0.944444	0.918919
335	1113	nat	25852	23	24	0.826087	0.791667	0.808511
336	1815	So	25844	61	52	0.698276	0.82	0.754258
337	608	;▁	25762	7	13	0.5	0.25	0.333333
338	472	na	25746	56	49	0.6	0.6875	0.640777
339	334	tive▁	25726	18	18	0.5	0.529412	0.514286
340	528	2▁	25674	37	38	0.861111	0.871429	0.866239
341	407	ence▁	25650	57	54	0.726415	0.77551	0.75016
342	613	were▁	25627	112	105	0.476667	0.494792	0.48556
343	649	ist	25556	46	49	0.586957	0.55102	0.568421
344	39	0	25538	37	35	0.847619	0.882353	0.864637
345	329	ant▁	25509	43	24	0.348837	0.625	0.447761
346	321	oo	25504	85	68	0.604938	0.757576	0.672707
347	1869	ref	25504	45	51	0.813953	0.714286	0.76087
