Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
163	362	we	522194	378	355	0.6692	0.716991	0.692272
164	50	U	519592	232	226	0.873762	0.894167	0.883847
165	331	et	519283	206	208	0.694737	0.69224	0.693486
166	246	ap	518237	177	182	0.674699	0.660714	0.667633
167	257	have▁	518091	189	225	0.612994	0.516908	0.560866
168	325	tu	513997	121	120	0.521008	0.539823	0.530249
169	226	no	513137	249	239	0.70354	0.727829	0.715478
170	215	le▁	504318	226	245	0.789352	0.72766	0.757251
171	51	H	503628	323	323	0.83612	0.845279	0.840675
172	53	G	500835	207	202	0.867544	0.885027	0.876198
173	143	ou	499871	306	292	0.680197	0.706591	0.693143
174	237	res	499460	149	158	0.75	0.709459	0.729167
175	285	the	488976	156	156	0.618881	0.618881	0.618881
176	54	O	487682	162	137	0.751773	0.808974	0.779325
177	55	z	486995	145	156	0.776081	0.722222	0.748184
178	319	sp	486927	175	200	0.692872	0.597606	0.641723
179	178	em	485641	148	153	0.649635	0.627586	0.63842
180	262	you▁	481216	96	98	0.802083	0.781893	0.791859
181	204	ab	477298	184	205	0.655172	0.595986	0.624179
182	247	ity▁	469151	104	125	0.813131	0.675214	0.737782
183	56	L	465873	253	253	0.925339	0.915556	0.920421
184	376	se▁	461712	145	171	0.675373	0.576923	0.622278
185	31	I	458331	87	83	0.759259	0.815068	0.786175
186	277	ot	454575	169	154	0.70614	0.765957	0.734834
187	268	all▁	454290	123	115	0.634503	0.659091	0.646563
188	284	par	449588	145	148	0.717284	0.70438	0.710773
189	272	will▁	448810	167	182	0.658889	0.606707	0.631722
190	57	N	444654	300	295	0.882993	0.886856	0.884921
191	275	which▁	440925	98	132	0.56701	0.428	0.487795
192	181	ve▁	440229	188	169	0.596045	0.659236	0.62605
193	39	0	438186	151	147	0.938368	0.957895	0.948031
194	199	wi	431754	175	152	0.5375	0.613014	0.572779
195	278	wor	430476	123	117	0.695833	0.741071	0.71774
196	177	h▁	428370	229	205	0.625616	0.710452	0.66534
197	260	ate▁	427939	111	151	0.6875	0.496503	0.576597
198	280	from▁	426628	163	158	0.547468	0.569079	0.558065
199	344	po	425712	172	177	0.730361	0.715625	0.722918
200	202	m▁	421581	222	203	0.647783	0.697368	0.671662
201	43	W	417925	313	311	0.865019	0.864504	0.864761
202	369	bl	413200	185	202	0.77264	0.701571	0.735392
203	297	per	409209	186	141	0.561508	0.701493	0.623743
204	333	um	408161	216	233	0.852137	0.777519	0.81312
205	28	.	403686	146	86	0.482456	0.854167	0.616626
206	279	p▁	401455	350	284	0.653928	0.82324	0.728881
207	288	(▁	400552	30	33	0.793103	0.71875	0.754098
208	238	ter	400485	126	117	0.628205	0.672727	0.649704
209	289	)▁	396631	30	33	0.793103	0.71875	0.754098
210	38	x	393619	170	158	0.804878	0.866013	0.834327
211	317	ted▁	391539	217	239	0.547619	0.507474	0.526783
212	142	f▁	390781	158	135	0.536667	0.636	0.582126
213	228	ver	388179	171	178	0.703822	0.677914	0.690625
214	290	ment▁	386813	98	101	0.648936	0.635417	0.642105
215	343	pos	386301	77	116	0.763889	0.495536	0.601122
216	397	ear	384436	252	267	0.852593	0.79668	0.823689
217	300	str	382904	133	137	0.601562	0.592742	0.59712
218	248	ay▁	381893	195	154	0.52514	0.65991	0.584861
219	453	go	380191	244	168	0.506912	0.728125	0.597708
220	287	our▁	380102	125	119	0.836364	0.883013	0.859055
221	296	has▁	379788	191	184	0.513333	0.534226	0.523571
222	230	ce▁	376811	167	152	0.708861	0.788416	0.746525
223	468	bo	375869	175	124	0.523663	0.731092	0.610232
224	351	est	370892	131	124	0.696721	0.734195	0.714968
225	308	cl	351785	106	131	0.658416	0.532258	0.588653
226	312	can▁	350634	96	102	0.690217	0.649485	0.669232
227	229	for	348549	157	166	0.702055	0.663462	0.682213
