Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	5	▁	7349337	5290	3672	0.640924	0.879585	0.741524
2	130	the▁	6537819	3630	4008	0.864952	0.789859	0.825702
3	133	,▁	5389678	3176	2826	0.74655	0.846864	0.793549
4	137	.▁	4691026	2889	2894	0.987335	0.986096	0.986715
5	123	s▁	3973847	3029	2705	0.734646	0.822644	0.776159
6	17	c	3615882	1987	1925	0.753205	0.780683	0.766698
7	10	i	3469877	1863	1802	0.750658	0.771164	0.760773
8	146	of▁	3435796	1645	1735	0.733597	0.704386	0.718695
9	11	n	3306450	2120	1940	0.722191	0.791585	0.755297
10	147	and▁	3175036	1332	1363	0.925575	0.904159	0.914741
11	148	to▁	3051947	1714	1491	0.705787	0.810404	0.754486
12	151	a▁	2770520	1701	1655	0.805784	0.833517	0.819416
13	122	e▁	2617900	1770	1756	0.741895	0.76433	0.752946
14	136	re	2575592	1591	1562	0.717686	0.734429	0.725961
15	19	m	2437252	1525	1515	0.720561	0.722776	0.721667
16	6	e	2400248	1614	1530	0.724615	0.758468	0.741155
17	7	t	2290373	1399	1313	0.717315	0.757033	0.736639
18	156	in▁	2244769	1364	1329	0.752683	0.779739	0.765972
19	21	f	2242766	1326	1283	0.729086	0.752925	0.740814
20	132	y▁	2048182	1153	1106	0.73384	0.759436	0.746419
21	127	d▁	1991579	1862	1808	0.737028	0.761565	0.749095
22	22	g	1951726	1278	1187	0.694216	0.742967	0.717765
23	14	h	1923853	1570	1469	0.743041	0.792167	0.766818
24	129	in	1920034	963	1011	0.727666	0.709869	0.718657
25	126	t▁	1894884	1241	1007	0.588364	0.724839	0.64951
26	131	an	1846001	1123	1132	0.781179	0.771016	0.776064
27	13	s	1826332	1508	1401	0.748937	0.802568	0.774825
28	150	ed▁	1776889	1285	1308	0.712677	0.697966	0.705245
29	12	r	1740696	1326	1300	0.751468	0.764338	0.757848
30	154	es▁	1701823	777	801	0.678287	0.65527	0.66658
31	217	de	1615903	864	859	0.698683	0.717625	0.708027
32	16	d	1607650	1137	1025	0.685082	0.76554	0.72308
33	155	is▁	1605402	774	813	0.69772	0.671927	0.684581
34	145	on▁	1576592	842	752	0.657123	0.740196	0.69619
35	128	er	1497612	787	730	0.712834	0.757637	0.734553
36	166	al▁	1440278	687	652	0.733161	0.770735	0.751479
37	25	b	1418183	863	766	0.654948	0.742316	0.6959
38	20	p	1400851	924	796	0.646237	0.75	0.694263
39	158	st	1394436	939	822	0.637791	0.749119	0.688987
40	153	ing▁	1364886	920	557	0.423211	0.68691	0.523741
41	9	o	1323412	899	877	0.738127	0.764428	0.751047
42	160	at	1316434	788	662	0.664015	0.787587	0.720542
43	243	ne	1293042	789	733	0.705128	0.760637	0.731832
44	27	v	1271535	689	670	0.693265	0.715315	0.704117
45	141	ar	1251831	869	826	0.717887	0.759179	0.737956
46	210	li	1220210	706	1157	0.67533	0.696696	0.685846
47	34	A	1218132	832	865	0.846617	0.814175	0.830079
48	18	u	1213711	963	886	0.711204	0.769327	0.739124
49	185	that▁	1188355	632	683	0.60997	0.570707	0.589686
50	375	te	1187962	636	668	0.746337	0.715718	0.730707
51	186	pro	1174331	396	413	0.728022	0.704991	0.716321
52	198	ri	1143860	733	704	0.756193	0.788889	0.772195
53	163	si	1142974	610	559	0.705363	0.767596	0.735165
54	24	w	1131902	911	806	0.727712	0.818535	0.770456
55	170	it	1128843	513	517	0.724815	0.722346	0.723578
56	304	me	1127870	587	598	0.777031	0.762808	0.769854
57	477	la	1125363	656	595	0.706691	0.775306	0.73941
58	169	ac	1120099	686	560	0.622093	0.761761	0.684879
59	140	al	1118293	686	630	0.727196	0.794648	0.759427
60	232	le	1109776	631	605	0.6739	0.716987	0.694776
61	342	ra	1109497	513	515	0.71968	0.726269	0.72296
62	191	for▁	1108112	587	474	0.614286	0.768322	0.682723
63	23	y	1063676	724	694	0.781568	0.814722	0.797801
64	233	vi	1049689	482	453	0.630321	0.677546	0.653081
65	15	l	1036720	704	623	0.64946	0.739544	0.69158
66	33	S	1032296	640	660	0.846433	0.832395	0.839355
67	29	k	997583	754	688	0.714857	0.771261	0.741989
68	139	en	990851	539	496	0.712474	0.777269	0.743462
69	32	C	962962	465	520	0.859572	0.789968	0.823302
70	134	or	960220	699	682	0.769949	0.779152	0.774523
71	149	g▁	957694	793	625	0.559407	0.723457	0.630943
72	184	as	957240	583	520	0.641798	0.72807	0.682218
73	212	di	943965	490	481	0.713364	0.728728	0.720964
74	225	be	940271	602	540	0.66444	0.741597	0.700901
75	205	un	932658	558	497	0.672943	0.746622	0.70787
76	124	th	929896	606	579	0.741509	0.775817	0.758275
77	172	an▁	919322	633	641	0.781132	0.774214	0.777658
78	144	on	912780	520	440	0.679059	0.803601	0.736099
79	281	se	912677	648	581	0.651273	0.73008	0.688428
80	157	er▁	910173	811	759	0.725359	0.779724	0.75156
81	125	n▁	906746	786	698	0.682323	0.767559	0.722435
82	179	ur	883751	513	477	0.721531	0.778986	0.749158
83	36	-	878159	643	422	0.485658	0.721974	0.580694
84	37	M	876394	609	624	0.884548	0.855078	0.869563
85	171	is	862587	509	506	0.709259	0.711845	0.71055
86	195	pl	837264	456	473	0.703008	0.667449	0.684767
87	203	ad	836265	522	471	0.662698	0.724688	0.692309
88	208	are▁	832821	410	383	0.603709	0.637311	0.620055
89	161	l▁	828410	460	418	0.680387	0.740979	0.709392
90	201	ation▁	827653	273	315	0.691406	0.608772	0.647463
91	242	ci	814915	351	420	0.781481	0.654635	0.712456
92	206	su	813352	364	339	0.692192	0.738208	0.71446
93	190	am	800087	429	365	0.66916	0.787572	0.723554
94	236	ul	797524	436	421	0.726734	0.734772	0.730731
95	174	il	792552	582	564	0.782155	0.803881	0.792869
96	282	lo	792012	462	398	0.659054	0.766481	0.70872
97	8	a	786299	504	561	0.750193	0.671508	0.708673
98	425	to	778068	542	442	0.610417	0.75021	0.673132
99	196	ts▁	768700	419	400	0.63692	0.669437	0.652774
100	159	ic	760602	446	424	0.792793	0.83812	0.814827
101	219	with▁	760188	405	422	0.737772	0.700174	0.718481
102	222	tr	758098	447	417	0.64419	0.694982	0.668623
103	214	k▁	758039	500	486	0.710985	0.734424	0.722514
104	175	as▁	757255	380	341	0.641414	0.714972	0.676198
105	221	op	755381	406	408	0.786885	0.79132	0.789097
106	235	ch	753868	560	505	0.707171	0.792884	0.747579
107	360	mo	740410	384	402	0.763889	0.725543	0.744223
108	135	ti	733717	384	370	0.741114	0.762463	0.751637
109	223	The▁	731697	577	616	0.81993	0.768747	0.793514
110	224	be▁	729379	339	283	0.613397	0.743056	0.672029
111	182	ly▁	723111	419	415	0.678788	0.687337	0.683036
112	35	E	706069	254	268	0.807971	0.778481	0.792952
113	152	ro	705568	460	436	0.711634	0.748273	0.729494
114	370	co	704284	483	478	0.7375	0.745594	0.741525
115	431	so	695043	425	401	0.737607	0.790055	0.762931
116	164	at▁	691338	496	434	0.592676	0.689295	0.637344
117	187	en▁	691039	551	523	0.697938	0.729798	0.713513
118	424	fi	681914	382	361	0.734093	0.779279	0.756012
119	227	it▁	661021	449	369	0.600888	0.736029	0.661628
120	40	P	660970	439	450	0.892582	0.873938	0.883161
121	193	wh	657822	537	528	0.700212	0.724871	0.712328
122	200	con	654966	278	280	0.653797	0.65251	0.653153
123	276	ent	654786	247	243	0.652047	0.666667	0.659276
124	218	ex	654283	297	334	0.759717	0.67569	0.715244
125	234	I▁	648922	211	213	0.96978	0.968232	0.969006
126	41	B	647840	500	520	0.868182	0.832968	0.85021
127	42	1	640403	455	448	0.964497	0.975475	0.969955
128	371	ut	635789	386	381	0.775828	0.76338	0.769554
129	138	o▁	632024	532	481	0.74236	0.825117	0.781554
130	332	hi	631654	623	612	0.770078	0.79843	0.783998
131	168	tion▁	627882	249	264	0.621277	0.587149	0.603731
132	231	pe	626607	418	400	0.664502	0.688	0.676047
133	470	na	615307	274	253	0.717391	0.774468	0.744838
134	192	ol	613814	462	424	0.741463	0.807592	0.773116
135	180	ent▁	611622	256	234	0.649351	0.695349	0.671563
136	241	this▁	605189	208	228	0.636516	0.576577	0.605065
137	355	ni	604980	304	274	0.661348	0.742608	0.699626
138	165	or▁	599796	296	278	0.753731	0.803571	0.777854
139	299	gr	595755	317	310	0.686921	0.697126	0.691986
140	167	ec	587270	269	275	0.728	0.721344	0.724657
141	250	sh	583725	447	405	0.65482	0.741315	0.695388
142	189	r▁	581407	375	391	0.774621	0.748846	0.761515
143	173	el	578860	385	379	0.778585	0.794263	0.786346
144	30	T	577045	338	355	0.865237	0.82384	0.844031
145	207	ag	575763	311	313	0.716263	0.71967	0.717963
146	392	st▁	574401	389	405	0.769953	0.741144	0.755274
147	211	com	572028	295	314	0.704797	0.659722	0.681515
148	245	qu	569835	1590	191	0.120315	0.675676	0.204259
149	252	im	565973	242	256	0.779499	0.742616	0.76061
150	194	us	563518	318	322	0.787982	0.779279	0.783606
151	213	ha	563194	522	487	0.663907	0.694761	0.678984
152	46	j	559126	329	288	0.622004	0.710037	0.663112
153	47	R	556617	362	385	0.878889	0.82243	0.849723
154	162	om	552657	274	273	0.735677	0.744	0.739815
155	48	F	551009	428	429	0.828338	0.828829	0.828583
156	249	not▁	549090	254	349	0.869986	0.637436	0.735773
157	251	by▁	545560	270	282	0.712598	0.686122	0.69911
158	336	gi	538259	267	228	0.618577	0.733645	0.671215
159	49	D	534373	428	405	0.811111	0.860435	0.835045
160	306	ev	532850	317	324	0.736395	0.714052	0.725051
161	254	we▁	527699	119	123	0.914141	0.89	0.901909
162	416	ai	527037	539	506	0.750692	0.798945	0.774067
163	362	we	522194	480	469	0.715866	0.763992	0.739146
164	50	U	519592	204	225	0.882514	0.823024	0.851731
165	331	et	519283	322	273	0.641414	0.772358	0.700822
166	246	ap	518237	1146	302	0.218051	0.812956	0.343869
167	257	have▁	518091	278	286	0.625969	0.610487	0.618131
168	325	tu	513997	211	194	0.582915	0.640884	0.610526
169	226	no	513137	348	331	0.764862	0.79538	0.779822
170	215	le▁	504318	314	337	0.771959	0.71885	0.744459
171	51	H	503628	380	409	0.873294	0.813645	0.842415
172	53	G	500835	337	338	0.847134	0.852297	0.849708
173	143	ou	499871	320	314	0.681134	0.69881	0.689859
174	237	res	499460	219	224	0.694313	0.678241	0.686183
175	285	the	488976	253	251	0.589958	0.600427	0.595147
176	54	O	487682	207	239	0.804983	0.696429	0.746781
177	55	z	486995	332	311	0.709059	0.745169	0.726666
178	319	sp	486927	320	295	0.668904	0.730769	0.698469
179	178	em	485641	230	227	0.661972	0.667442	0.664696
180	262	you▁	481216	100	111	0.705628	0.616667	0.658155
181	204	ab	477298	253	255	0.588843	0.585034	0.586932
182	247	ity▁	469151	153	167	0.797297	0.736897	0.765908
183	56	L	465873	289	295	0.849	0.83664	0.842775
184	376	se▁	461712	198	219	0.654255	0.588942	0.619883
