Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	172	the▁	723321	3773	4131	0.81232	0.747556	0.778593
2	175	,▁	600255	3050	3240	0.744552	0.762294	0.753319
3	179	.▁	508761	2868	2987	0.988983	0.954734	0.971557
4	188	of▁	378819	1695	1773	0.670678	0.644343	0.657247
5	189	and▁	347272	1241	1305	0.896505	0.851432	0.873387
6	190	to▁	325010	1691	1552	0.621404	0.694436	0.655893
7	192	a▁	248801	1464	1373	0.697077	0.752714	0.723828
8	198	in▁	237183	1151	1203	0.659475	0.633851	0.646409
9	5	▁	174878	975	881	0.6487	0.70742	0.676789
10	197	is▁	171739	623	715	0.623364	0.53592	0.576344
11	227	that▁	132281	539	700	0.619298	0.480384	0.541067
12	233	for▁	122063	542	544	0.56095	0.562413	0.561681
13	165	s▁	117423	635	766	0.582121	0.477112	0.524411
14	187	on▁	115930	682	630	0.554052	0.596532	0.574507
15	262	with▁	83321	441	422	0.582725	0.608861	0.595506
16	264	The▁	81526	530	604	0.75717	0.660862	0.705746
17	265	be▁	80611	387	305	0.449176	0.572414	0.503361
18	252	are▁	79443	335	364	0.564309	0.510784	0.536214
19	11	n	76422	649	616	0.598783	0.629063	0.61355
20	217	as▁	75375	429	345	0.526393	0.666667	0.588283
21	275	I▁	70199	146	151	0.967467	0.919192	0.942712
22	193	ed▁	69171	582	560	0.484674	0.507246	0.495704
23	164	e▁	67550	543	444	0.55173	0.664222	0.602772
24	269	it▁	67147	332	312	0.409142	0.437282	0.422744
25	283	this▁	66953	223	209	0.573059	0.612745	0.592238
26	293	by▁	59715	319	291	0.518519	0.568592	0.542402
27	194	ing▁	58259	348	226	0.324017	0.49159	0.390589
28	168	t▁	57605	413	397	0.579066	0.598649	0.588694
29	213	an▁	57468	354	314	0.587474	0.654762	0.619296
30	298	have▁	57338	253	271	0.487705	0.455729	0.471175
31	300	we▁	57063	105	102	0.762153	0.776042	0.769035
32	10	i	56151	360	335	0.611635	0.653637	0.631939
33	292	not▁	55868	240	312	0.762332	0.577181	0.656961
34	305	you▁	53583	84	76	0.495025	0.551075	0.521548
35	207	or▁	52982	232	241	0.752336	0.735791	0.743972
36	35	-	52264	435	283	0.386004	0.606129	0.471647
37	206	at▁	50885	359	355	0.488349	0.488591	0.48847
38	316	will▁	49592	294	187	0.35696	0.55848	0.435539
39	318	which▁	49043	176	182	0.485207	0.460674	0.472622
40	196	es▁	48398	304	274	0.440688	0.493412	0.465562
41	321	from▁	47692	302	271	0.526379	0.589895	0.55633
42	174	y▁	44140	256	237	0.560858	0.605655	0.582396
43	330	(▁	44108	94	73	0.54878	0.654412	0.596959
44	333	)▁	43549	94	73	0.54878	0.654412	0.596959
45	338	has▁	42164	234	246	0.551852	0.530303	0.540863
