Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
107	425	te	180481	427	397	0.518767	0.553116	0.535391
108	235	ol	179036	375	409	0.801958	0.73584	0.767478
109	269	ck	178954	555	504	0.605498	0.651549	0.62768
110	270	de▁	176497	601	623	0.554862	0.543492	0.549118
111	271	auf▁	175860	464	421	0.462529	0.518222	0.488794
112	39	I	174944	191	203	0.658333	0.617725	0.637383
113	295	sa	174536	567	757	0.713144	0.529771	0.60793
114	351	de	173165	506	425	0.526414	0.620466	0.569584
115	233	wi	171587	396	376	0.590065	0.630808	0.609757
116	46	R	171321	406	405	0.722222	0.732407	0.727279
117	281	das▁	169795	532	434	0.466236	0.565351	0.511032
118	279	a▁	169677	346	541	0.761146	0.666603	0.710745
119	282	Ver	168969	375	377	0.569602	0.572336	0.570966
120	44	G	168773	385	386	0.722062	0.721902	0.721982
121	276	des▁	168667	431	457	0.538058	0.522251	0.530037
122	287	dies	167559	252	283	0.692623	0.619485	0.654016
123	266	ent	166707	432	421	0.644473	0.658046	0.651189
124	444	ig	164504	414	509	0.645998	0.535342	0.585488
125	244	der	163803	385	341	0.564394	0.64377	0.601474
126	284	gen	163118	393	379	0.513842	0.536765	0.525053
127	53	ß	162739	445	402	0.579765	0.643519	0.60998
128	247	ter	161093	438	418	0.567932	0.59242	0.579918
129	255	it	159663	318	307	0.64433	0.667256	0.655592
130	391	gi	158735	437	425	0.653165	0.670563	0.661749
131	334	li	157064	445	458	0.73479	0.723291	0.728995
132	323	Ge	156935	617	607	0.681308	0.689789	0.685522
133	330	l▁	155196	390	379	0.55943	0.57381	0.566529
134	268	ge▁	154950	381	370	0.485364	0.503205	0.494123
135	238	mi	154517	457	408	0.634647	0.708676	0.669622
136	251	ab	153804	475	432	0.471765	0.522337	0.495764
137	264	eu	153160	478	428	0.702665	0.783637	0.740945
138	288	rei	151143	444	428	0.652951	0.674583	0.663591
139	298	wei	150322	500	412	0.610613	0.730263	0.6651
140	291	ati	150154	249	287	0.82958	0.708494	0.764271
141	300	St	150070	498	507	0.695652	0.683751	0.68965
142	275	sp	149828	347	378	0.54902	0.508772	0.52813
143	289	ber	148119	418	441	0.672759	0.644946	0.658559
144	294	an▁	147839	437	323	0.385897	0.521839	0.443689
145	320	In	147648	276	279	0.671189	0.663474	0.667309
146	42	ö	146570	406	403	0.657358	0.663034	0.660184
147	420	so	145104	309	257	0.503436	0.604508	0.549362
148	57	1	144492	421	436	0.951104	0.914126	0.932249
149	58	C	144297	463	503	0.816933	0.747725	0.780798
150	361	zi	141697	278	290	0.625631	0.604245	0.614752
151	319	Re	140877	365	380	0.642068	0.625	0.633419
152	234	hr	139873	358	547	0.712259	0.540431	0.614561
153	296	dem▁	139726	459	367	0.402675	0.516006	0.45235
154	297	lich▁	139489	337	335	0.552215	0.562418	0.55727
155	274	ein▁	139463	414	409	0.560209	0.570222	0.565171
156	371	ru	139072	341	380	0.602358	0.531723	0.564841
157	301	all	137685	322	287	0.552885	0.625309	0.586871
158	201	r▁	135090	257	317	0.757202	0.620592	0.682124
159	292	il	132825	373	387	0.767875	0.748039	0.757827
160	306	im▁	132526	365	300	0.45549	0.551237	0.49881
161	308	Sie▁	130577	91	182	0.885417	0.451923	0.598412
162	429	eit	126554	307	312	0.581597	0.584229	0.58291
163	286	ungen▁	126389	241	277	0.569382	0.479323	0.520486
164	344	lie	125538	273	253	0.543423	0.587466	0.564587
165	313	nicht▁	125228	333	320	0.769639	0.799669	0.784367
166	382	et	124375	363	330	0.591542	0.659468	0.623661
167	318	den	122886	248	206	0.551282	0.669271	0.604574
168	457	lu	121602	364	349	0.611897	0.652921	0.631744
169	315	werden▁	121514	208	288	0.546798	0.4	0.462019
170	347	ot	119219	232	243	0.736574	0.712191	0.724178
171	267	ier	119168	287	286	0.56044	0.562264	0.56135
172	317	dass▁	119046	337	471	0.747312	0.532864	0.622126
173	322	ach	117683	451	376	0.519967	0.62768	0.568769
174	52	U	117147	316	273	0.681979	0.799587	0.736115
175	55	Z	116474	246	248	0.655983	0.644351	0.650115
176	324	An	116265	335	327	0.558602	0.572222	0.56533
177	312	än	116161	334	316	0.607029	0.645977	0.625898
178	310	ff	115466	329	360	0.714839	0.644683	0.677951
