Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
536	64	5	670	69	57	0.78125	0.936364	0.851803
537	706	economic▁	670	10	14	0.9	0.642857	0.75
538	716	ures▁	670	12	13	0.416667	0.384615	0.4
539	704	take▁	669	31	14	0.0645161	0.153846	0.0909091
540	707	/▁	667	5	7	0.8	0.666667	0.727273
541	708	includ	666	43	35	0.487805	0.588235	0.533333
542	713	over▁	662	73	34	0.111111	0.235294	0.150943
543	715	particul	661	9	11	0.555556	0.5	0.526316
544	746	gy▁	657	30	35	0.929487	0.783333	0.850175
545	719	respon	657	20	25	0.472222	0.369565	0.414634
546	726	arly▁	657	20	18	0.3	0.352941	0.324324
547	721	political▁	656	17	19	0.705882	0.631579	0.666667
548	720	first▁	656	53	69	0.846154	0.679688	0.75384
549	722	get▁	653	54	12	0.0612245	0.363636	0.104803
550	690	thing▁	650	45	36	0.44186	0.558824	0.493506
551	827	An	649	60	48	0.644068	0.808511	0.716981
552	417	ay	648	111	102	0.495	0.55618	0.52381
553	802	sign	647	30	24	0.310345	0.375	0.339623
554	791	i▁	643	85	74	0.759036	0.880282	0.815175
555	989	over	641	39	45	0.526316	0.444444	0.481928
556	873	ur▁	640	9	12	0.444444	0.333333	0.380952
557	667	vis	638	37	41	0.528571	0.527778	0.528174
558	731	unity▁	638	18	29	0.666667	0.413793	0.510638
559	434	20	637	99	96	0.913043	0.94382	0.928177
560	745	ms▁	637	30	32	0.433333	0.419355	0.42623
561	742	he▁	633	283	271	0.611158	0.674466	0.641254
562	950	val	633	26	33	0.461538	0.413793	0.436364
563	732	had▁	632	133	152	0.457317	0.408269	0.431403
564	735	years▁	631	41	66	0.935897	0.611111	0.739411
565	737	made▁	629	48	29	0.133333	0.214286	0.164384
566	736	probl	629	11	29	1	0.395833	0.567164
567	769	tri	628	44	26	0.202381	0.346154	0.255426
568	470	sup	627	40	38	0.475	0.5	0.487179
569	738	3▁	627	35	30	0.764706	0.896552	0.825397
570	505	jec	625	12	16	0.0833333	0.0666667	0.0740741
571	711	even▁	625	23	26	0.5	0.423077	0.458333
572	649	om▁	625	22	20	0.409091	0.447368	0.427374
573	743	direc	622	21	20	0.52381	0.555556	0.539216
574	977	grou	622	39	40	0.680556	0.644737	0.662162
575	810	x▁	621	50	46	0.510204	0.569767	0.538343
576	968	lev	621	21	18	0.285714	0.333333	0.307692
577	747	mil	621	81	72	0.746575	0.820896	0.781974
578	748	owever▁	619	21	15	0.428571	0.6	0.5
579	694	ving▁	617	38	15	0.105263	0.266667	0.150943
580	812	ques	614	14	31	0.714286	0.333333	0.454545
581	826	ial▁	614	20	20	0.45	0.473684	0.461538
582	744	where▁	613	34	28	0.530303	0.642857	0.581181
583	462	sti	613	46	12	0.0697674	0.25	0.109091
584	805	equ	613	19	13	0.105263	0.153846	0.125
585	755	appro	613	20	18	0.35	0.388889	0.368421
586	757	well▁	611	32	16	0.16129	0.3125	0.212766
587	756	just▁	611	54	21	0.134615	0.35	0.194444
588	855	compl	610	26	21	0.4	0.475	0.434286
589	997	Al	610	43	47	0.738095	0.681481	0.708659
590	761	them▁	606	42	41	0.428571	0.439024	0.433735
591	413	ear	606	72	54	0.5	0.663265	0.570175
592	232	ons▁	605	32	28	0.677419	0.759259	0.716008
593	590	ever	605	35	32	0.285714	0.3	0.292683
594	765	being▁	604	51	6	0.0416667	0.333333	0.0740741
595	882	hn	604	46	51	0.920635	0.837037	0.876848
596	763	incre	604	17	28	0.588235	0.375	0.458015
597	543	ow▁	603	38	37	0.416667	0.432432	0.424403
598	766	otel▁	601	6	14	1	0.439394	0.610526
599	60	9	600	23	19	0.714286	0.882353	0.789474
600	942	pp	599	61	38	0.301724	0.5	0.376344
601	771	%▁	598	4	39	1	0.121212	0.216216
602	773	ful	597	15	21	0.466667	0.333333	0.388889
603	774	world▁	597	24	20	0.583333	0.777778	0.666667
604	776	8▁	594	43	47	0.904762	0.840909	0.871668
605	359	ates▁	593	30	34	0.4	0.348485	0.37247
606	554	own▁	593	27	28	0.384615	0.36	0.371901
