Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	138	the▁	46682	2161	3157	0.87297	0.611852	0.719451
2	142	,▁	38245	2017	2502	0.784479	0.639296	0.704485
3	148	.▁	29966	1937	1973	0.960131	0.921604	0.940473
4	155	of▁	24356	1056	1568	0.739386	0.506854	0.601426
5	156	to▁	21280	1223	1280	0.616497	0.62895	0.622661
6	157	and▁	21107	947	1021	0.879106	0.817086	0.846962
7	165	in▁	15099	892	1052	0.669135	0.579246	0.620954
8	163	a▁	13513	1050	1169	0.736266	0.671541	0.702415
9	161	is▁	11191	379	564	0.612903	0.420502	0.498792
10	185	that▁	10133	457	694	0.655469	0.424508	0.515292
11	199	for▁	7785	378	354	0.527778	0.558642	0.542771
12	153	on▁	6368	520	441	0.435351	0.523035	0.475182
13	225	be▁	5509	208	272	0.439791	0.321954	0.371758
14	222	I▁	5495	248	259	0.907018	0.878093	0.892321
15	218	are▁	4948	182	227	0.443452	0.349673	0.391019
16	237	with▁	4867	293	283	0.522222	0.534854	0.528463
17	242	this▁	4741	111	156	0.665138	0.476667	0.555347
18	184	as▁	4579	276	272	0.460177	0.486111	0.472789
19	246	The▁	4453	302	356	0.697674	0.592068	0.640548
20	248	we▁	4412	109	109	0.759649	0.758681	0.759165
21	229	it▁	4326	258	240	0.462963	0.526659	0.492761
22	5	▁	4279	454	423	0.376091	0.394553	0.385101
23	256	have▁	4108	189	297	0.553672	0.362027	0.437795
24	249	not▁	3961	153	271	0.833333	0.462366	0.594744
25	132	s▁	3794	292	354	0.29198	0.241585	0.264403
26	263	by▁	3696	200	199	0.404762	0.412656	0.408671
27	277	which▁	3337	98	152	0.453608	0.304196	0.364173
28	278	will▁	3330	167	186	0.501111	0.458084	0.478632
29	180	an▁	3066	252	229	0.415612	0.469256	0.440808
30	290	has▁	2943	191	209	0.422857	0.379581	0.400052
31	296	European▁	2775	19	22	0.894737	0.772727	0.829268
32	306	from▁	2658	163	158	0.382911	0.398693	0.390643
33	169	at▁	2533	284	188	0.258044	0.383523	0.308513
34	250	or▁	2373	116	107	0.70068	0.730903	0.715473
35	316	(▁	2301	30	36	0.689655	0.571429	0.625
