Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	138	the▁	46682	3633	4460	0.830434	0.698572	0.758817
2	142	,▁	38245	3176	3225	0.718918	0.720633	0.719774
3	148	.▁	29966	2847	2975	0.987648	0.950075	0.968497
4	155	of▁	24356	1639	2089	0.709601	0.56209	0.62729
5	156	to▁	21280	1610	1716	0.612032	0.612452	0.612242
6	157	and▁	21107	1304	1331	0.886437	0.866098	0.87615
7	165	in▁	15099	1342	1415	0.683189	0.646021	0.664086
8	163	a▁	13513	1406	1617	0.727606	0.652851	0.688204
9	161	is▁	11191	736	1002	0.672383	0.498347	0.572429
10	185	that▁	10133	632	743	0.573363	0.49373	0.530575
11	199	for▁	7785	587	452	0.478258	0.617106	0.538882
12	153	on▁	6368	557	473	0.432333	0.513117	0.469274
13	225	be▁	5509	337	450	0.546178	0.421022	0.475502
14	222	I▁	5495	203	225	0.909004	0.83018	0.867806
15	218	are▁	4948	356	454	0.529855	0.413407	0.464443
16	237	with▁	4867	405	421	0.591033	0.564335	0.577375
17	242	this▁	4741	208	252	0.549414	0.452282	0.496139
18	184	as▁	4579	349	431	0.512182	0.480392	0.495778
19	246	The▁	4453	577	612	0.722902	0.68074	0.701188
20	248	we▁	4412	119	133	0.842593	0.738938	0.787369
21	229	it▁	4326	399	360	0.385727	0.449363	0.415121
22	5	▁	4279	556	565	0.391052	0.396239	0.393628
23	256	have▁	4108	276	383	0.482422	0.352691	0.40748
24	249	not▁	3961	244	353	0.821121	0.566265	0.670285
25	132	s▁	3794	866	399	0.201149	0.436025	0.275297
26	263	by▁	3696	259	280	0.461066	0.427481	0.443639
27	277	which▁	3337	140	219	0.440299	0.28125	0.343245
28	278	will▁	3330	173	250	0.509259	0.356932	0.419702
29	180	an▁	3066	293	305	0.437343	0.423586	0.430355
30	290	has▁	2943	241	296	0.48913	0.39781	0.438769
31	296	European▁	2775	14	17	0.884615	0.705882	0.785206
32	306	from▁	2658	317	234	0.336735	0.468037	0.391674
33	169	at▁	2533	316	225	0.251119	0.353678	0.293702
34	250	or▁	2373	195	169	0.702778	0.818083	0.756059
35	316	(▁	2301	134	142	0.921053	0.852	0.885182
36	321	you▁	2245	100	140	0.582251	0.416667	0.485735
37	324	)▁	2233	134	143	0.929825	0.853175	0.889852
38	11	n	2161	405	313	0.289134	0.382576	0.329356
39	287	all▁	2012	114	101	0.554545	0.630208	0.589961
40	349	also▁	1969	127	160	0.629921	0.5	0.557491
41	351	was▁	1942	411	527	0.596244	0.463656	0.521657
42	271	our▁	1916	73	66	0.789216	0.870968	0.828079
43	353	can▁	1912	113	111	0.607477	0.609568	0.60852
44	358	would▁	1825	91	130	0.556818	0.398551	0.464575
45	131	e▁	1797	312	212	0.221831	0.327381	0.264463
46	35	-	1783	277	250	0.276235	0.323209	0.297881
47	365	’▁	1766	2	110	0	0	0
48	366	's▁	1765	-1	69	0	0	0
49	374	should▁	1720	39	64	0.513158	0.322581	0.39614
50	361	more▁	1690	143	137	0.577519	0.590551	0.583963
51	383	Mr▁	1673	16	10	0.392857	0.6	0.47482
52	381	but▁	1671	138	135	0.824818	0.843284	0.833948
53	159	ed▁	1662	281	206	0.171642	0.227806	0.195775
54	388	:▁	1660	209	203	0.840686	0.88601	0.862753
55	346	its▁	1657	118	150	0.282051	0.226619	0.251315
56	162	ing▁	1645	198	87	0.0638298	0.154472	0.0903328
57	134	t▁	1638	372	206	0.172619	0.30614	0.220761
58	380	-▁	1627	132	129	0.494118	0.49	0.49205
59	402	their▁	1569	183	178	0.529652	0.548387	0.538857
60	408	been▁	1541	164	231	0.379747	0.271689	0.316756
61	409	Commission▁	1539	4	3	0.5	0.666667	0.571429
62	411	We▁	1535	72	78	0.916667	0.850649	0.882425
63	429	must▁	1444	20	52	0.65	0.244792	0.355646
64	436	In▁	1404	148	146	0.489796	0.493151	0.491468
65	438	It▁	1398	129	163	0.635659	0.503086	0.561656
66	441	'▁	1373	-1	586	0	0	0
67	442	This▁	1372	51	98	0.705882	0.367347	0.483221
68	332	one▁	1366	169	99	0.284188	0.485663	0.358562
69	164	es▁	1332	156	101	0.114094	0.1875	0.141864
70	446	President▁	1310	32	47	0.87931	0.585271	0.702774
71	452	they▁	1303	158	208	0.615476	0.474576	0.53592
72	474	do▁	1203	73	88	0.402985	0.322917	0.358535
73	476	there▁	1201	133	117	0.42126	0.500779	0.45759
74	10	i	1186	177	135	0.26626	0.349174	0.302132
